"","GEOID","Comp_index"
"1",51001,0.837927437138908
"2",51003,-0.974647041295961
"3",51005,-0.205981667368359
"4",51007,-0.407965430373824
"5",51009,-0.219427794690671
"6",51011,-0.475327596854909
"7",51013,-0.60267473098386
"8",51015,-0.946023754085601
"9",51017,0.298501160524477
"10",51019,-1.03664965677472
"11",51021,-1.00839654276361
"12",51023,-1.53119554138319
"13",51025,1.23755130637695
"14",51027,1.44581325640035
"15",51029,0.608473635172878
"16",51031,-0.539758059866398
"17",51033,-0.304379354603183
"18",51035,-0.212061638000218
"19",51036,-0.155758354161315
"20",51037,0.854880589189865
"21",51041,-0.503378502603998
"22",51043,-0.522038394769408
"23",51045,-1.73786298944746
"24",51047,-0.27700318440097
"25",51049,0.807620956059341
"26",51051,0.575497276616318
"27",51053,0.279052641110594
"28",51057,-0.0233336699214962
"29",51059,-0.352251617243191
"30",51061,-1.08053391415045
"31",51063,-1.08405687575737
"32",51065,-1.03321999263344
"33",51067,-0.312049500782294
"34",51069,-0.807578364820521
"35",51071,-0.622706403392293
"36",51073,-0.917492695632972
"37",51075,-1.58179670782543
"38",51077,0.0971095528405835
"39",51079,-0.549439836027907
"40",51081,1.04015553999555
"41",51083,-0.110318372143297
"42",51085,-1.38825539527928
"43",51087,-0.229880277205697
"44",51089,0.9071484008955
"45",51091,-1.73796070742771
"46",51093,-0.342138559807129
"47",51095,-1.40429628528796
"48",51097,0.0627637922277105
"49",51099,-1.02200651205785
"50",51101,-0.913186116337835
"51",51103,-1.01655465083064
"52",51105,1.38533871303035
"53",51107,-1.04306493296113
"54",51109,-0.174967359940053
"55",51111,0.555055678902899
"56",51113,-0.415094519273723
"57",51115,-1.33248478572072
"58",51117,0.280270003266478
"59",51119,-1.01211364032424
"60",51121,-0.398166533256896
"61",51125,-0.347327460202961
"62",51127,-1.39808968564066
"63",51131,0.484086491507895
"64",51133,-0.84071497638455
"65",51135,1.09522945390983
"66",51137,-0.395126760109992
"67",51139,0.298862630583541
"68",51141,0.26602363139771
"69",51143,0.224950268827403
"70",51145,-1.62761768954036
"71",51147,0.152861082151488
"72",51149,-0.291110280679343
"73",51153,0.176509146130796
"74",51155,-0.568402185652619
"75",51157,-0.802589244405057
"76",51159,-0.571291043452356
"77",51161,-1.28241122579033
"78",51163,-0.477398874269417
"79",51165,-0.547000448207285
"80",51167,0.366457091540881
"81",51169,0.194787951271872
"82",51171,-0.466824993350776
"83",51173,0.343836123649439
"84",51175,-0.201560342128731
"85",51177,-0.476083804942399
"86",51179,-0.817094844355319
"87",51181,0.0613012283718358
"88",51183,0.664167607062392
"89",51185,0.155500767594889
"90",51187,-0.0445155579203972
"91",51191,-0.263258161631783
"92",51193,0.112537348643937
"93",51195,1.28544335363712
"94",51197,-0.17280776689926
"95",51199,-1.12204318552551
"96",51510,0.211199622991699
"97",51520,0.871152083068615
"98",51530,0.310065346277617
"99",51540,0.421284263998333
"100",51550,-0.32608889621327
"101",51570,0.0964024176670419
"102",51580,-0.15792688557597
"103",51590,1.36715666872612
"104",51595,3.91113714502455
"105",51600,-0.125991355250844
"106",51610,-0.800327598975733
"107",51620,1.49762060483217
"108",51630,0.599012002468189
"109",51640,1.40957622870073
"110",51650,0.503240664727614
"111",51660,1.50123409100998
"112",51670,1.53946185209382
"113",51678,-0.0932007799063194
"114",51680,0.527952147724509
"115",51683,1.31414412278131
"116",51685,2.40423691538113
"117",51690,1.62024891770941
"118",51700,0.665286712731746
"119",51710,1.49798392497607
"120",51720,2.11371574419598
"121",51730,2.32188013546687
"122",51735,-1.74899219466498
"123",51740,1.19439901873147
"124",51750,0.585222293802429
"125",51760,1.8741065636547
"126",51770,1.22893426728324
"127",51775,-0.611730803772153
"128",51790,-0.616864165902635
"129",51800,-0.151972256027647
"130",51810,-0.409337023593521
"131",51820,0.790196325440325
"132",51830,-0.0367511744081383
"133",51840,0.82536592835403
